study_id,entry_id,study_authors,study_title,study_year,metric,estimate,sample_size,variance_estimate,range_max,variance_type,statistical_distribution,age_reported,sex,year,time-period_studied,sampling_dates,sampling_season,rainfall_annual_sum[mm],Latitude,Longitude,sitename,stratum,site_size[km^2],geographic_ID,sampling_coverage,sampling_coverage_unit,countryname_iso3166,country_iso3166-1_alpha-3,species,surveyer,survey_type,survey_method,combined_strip_width[m],fenced[fully/partly/no],poaching_indication,natural_mortality_indication,management_indication,study_focus,AED_incl,contains_map,remarks,
16,1,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,900.0000,,,,,,,,1986,1986,,,,,,"Mago National Park, Tama Wildlife Reserve + Murle",,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,2,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,50.0000,,,,,,,,1986,1986,,,,,,Boran Controlled Hunting Area,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,3,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,800.0000,,,,,,,,1986,1986,,,,,,Omo National Park,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,4,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,6000.0000,,,,,,,,1986,1986,,,,,,Akobo-Mizan Teferi Area,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,5,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,400.0000,,,,,,,,1986,1986,,,,,,Metekel-Dabus River,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,6,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,250.0000,,,,,,,,1986,1986,,,,,,Gash-Setit,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,7,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population size,300.0000,,,,,,,,1986,1986,,,,,,Harar-Wabi Shebeli River,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
16,8,"Demeke, Yirmed",The status of the African elephant (Loxodonta africana) in Ethiopia.,1997,population density,0.0070,,,,,,,,1986,1986,,,,,,Ethiopia,,,,,,Ethiopia,ETH,L. africana,Ethiopian Wildlife Conservation Organisation,aerial survey,"sample count, reconnaissance",,,,,,status report,no,,"original source (EWCO, 1991) not accessible",
24,1,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,annual mortality rate,0.0952,,,,,,0-1,,1976-1979,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,2,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,annual mortality rate,0.0400,,,,minimum estimate,,0-1,,1980-1995,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,3,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,annual mortality rate,0.1077,,,,minimum estimate,,0-1,,1996-1998,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,4,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,11.0000,,,,,,,,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,5,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,1.0000,,,,,,calf,male,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,6,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,1.0000,,,,,,halfgrown,male,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,7,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,1.0000,,,,,,fullgrown,male,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,8,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,6.0000,,,,,,sexually_mature,female,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,9,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,2.0000,,,,,,sexually_immature,female,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,10,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,1.0000,,,,,,,,1931,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
